id,maNguoiDung,ip,time,location,device,label
1,ND005,113.160.12.35,2026-05-01 08:10:12,"16.054200,108.202100",android 13,1
2,ND005,113.160.12.35,2026-05-01 19:18:44,"16.054240,108.202130",android 13,1
3,ND005,113.160.12.35,2026-05-02 08:05:33,"16.054210,108.202090",android 14,1
4,ND005,113.160.12.35,2026-05-02 19:21:16,"16.054260,108.202160",android 14,1
5,ND005,113.160.12.35,2026-05-03 08:12:09,"16.054230,108.202110",android 13,1
6,ND005,113.160.12.35,2026-05-03 19:12:52,"16.054280,108.202170",android 13,1
7,ND005,113.160.12.35,2026-05-04 08:09:41,"16.054220,108.202120",android 14,1
8,ND005,113.160.12.35,2026-05-04 19:07:27,"16.054270,108.202180",android 14,1
9,ND005,113.160.12.35,2026-05-05 08:14:03,"16.054210,108.202100",android 13,1
10,ND005,113.160.12.35,2026-05-05 19:20:55,"16.054260,108.202150",android 13,1
11,ND005,113.160.12.35,2026-05-06 08:11:19,"16.054240,108.202120",android 14,1
12,ND005,113.160.12.35,2026-05-06 19:16:08,"16.054290,108.202190",android 14,1
13,ND005,113.160.12.35,2026-05-07 08:07:50,"16.054230,108.202110",android 13,1
14,ND005,113.160.12.35,2026-05-07 19:23:46,"16.054280,108.202170",android 13,1
15,ND005,113.160.12.35,2026-05-08 08:03:31,"16.054210,108.202080",android 14,1
16,ND005,113.160.12.35,2026-05-08 19:19:24,"16.054260,108.202160",android 14,1
17,ND005,113.160.12.35,2026-05-09 08:13:05,"16.054220,108.202100",android 13,1
18,ND005,113.160.12.35,2026-05-09 19:06:18,"16.054270,108.202180",android 13,1
19,ND005,113.160.12.35,2026-05-10 08:08:49,"16.054240,108.202120",android 14,1
20,ND005,113.160.12.35,2026-05-10 19:15:36,"16.054290,108.202190",android 14,1
21,ND005,113.160.12.35,2026-05-11 08:02:57,"16.054230,108.202110",android 13,1
22,ND005,113.160.12.35,2026-05-11 19:22:40,"16.054280,108.202170",android 13,1
23,ND005,113.160.12.35,2026-05-12 08:10:14,"16.054210,108.202090",android 14,1
24,ND005,113.160.12.35,2026-05-12 19:18:07,"16.054260,108.202160",android 14,1
25,ND005,113.160.12.35,2026-05-13 08:06:45,"16.054220,108.202100",android 13,1
26,ND005,113.160.12.35,2026-05-13 19:12:58,"16.054270,108.202180",android 13,1
27,ND005,113.160.12.35,2026-05-14 08:09:26,"16.054240,108.202120",android 14,1
28,ND005,113.160.12.35,2026-05-14 19:21:13,"16.054290,108.202190",android 14,1
29,ND005,113.160.12.35,2026-05-15 08:04:38,"16.054230,108.202110",android 13,1
30,ND005,113.160.12.35,2026-05-15 19:09:54,"16.054280,108.202170",android 13,1
31,ND005,113.160.12.35,2026-05-16 08:12:01,"16.054210,108.202090",android 14,1
32,ND005,113.160.12.35,2026-05-16 19:17:46,"16.054260,108.202160",android 14,1
33,ND005,113.160.12.35,2026-05-17 08:07:22,"16.054220,108.202100",android 13,1
34,ND005,113.160.12.35,2026-05-17 19:24:11,"16.054270,108.202180",android 13,1
35,ND005,113.160.12.35,2026-05-18 08:03:57,"16.054240,108.202120",android 14,1
36,ND005,113.160.12.35,2026-05-18 19:14:33,"16.054290,108.202190",android 14,1
37,ND005,113.160.12.35,2026-05-19 08:11:08,"16.054230,108.202110",android 13,1
38,ND005,113.160.12.35,2026-05-19 19:08:26,"16.054280,108.202170",android 13,1
39,ND005,113.160.12.35,2026-05-20 08:05:42,"16.054210,108.202090",android 14,1
40,ND005,113.160.12.35,2026-05-20 19:20:19,"16.054260,108.202160",android 14,1
41,ND005,203.113.9.44,2026-05-21 02:14:59,"21.027764,105.834160",windows 11,0
42,ND005,8.8.8.8,2026-05-21 03:05:11,"37.422000,-122.084057",linux,0
43,ND005,45.76.24.198,2026-05-22 01:22:40,"1.352083,103.819839",ios 17.5,0
44,ND005,104.248.149.88,2026-05-22 02:38:12,"13.756331,100.501762",android 10,0
45,ND005,51.158.168.12,2026-05-23 04:11:29,"48.856613,2.352222",windows 10,0
46,ND005,35.190.247.1,2026-05-23 03:44:18,"35.689487,139.691711",linux,0
47,ND005,162.243.128.28,2026-05-24 01:57:03,"40.712776,-74.005974",ios 16.7,0
48,ND005,91.108.56.123,2026-05-24 02:22:51,"51.507351,-0.127758",windows 11,0
49,ND005,119.28.49.23,2026-05-25 03:10:07,"22.396428,114.109497",android 12,0
50,ND005,5.255.255.55,2026-05-25 01:03:45,"55.755825,37.617298",linux,0
51,ND006,113.160.12.34,2026-05-01 08:15:10,"16.054407,108.202167",android 14,1
52,ND006,113.160.12.34,2026-05-01 19:33:27,"16.054430,108.202250",android 14,1
53,ND006,113.160.12.34,2026-05-02 08:12:02,"16.054410,108.202200",android 14,1
54,ND006,113.160.12.34,2026-05-02 19:10:05,"16.054470,108.202300",android 14,1
55,ND006,113.160.12.34,2026-05-03 08:09:18,"16.054390,108.202120",android 14,1
56,ND006,113.160.12.34,2026-05-03 19:20:44,"16.054450,108.202260",android 14,1
57,ND006,113.160.12.34,2026-05-04 08:07:33,"16.054420,108.202190",ios 17.5,1
58,ND006,113.160.12.34,2026-05-04 19:05:16,"16.054460,108.202270",ios 17.5,1
59,ND006,113.160.12.34,2026-05-05 08:14:52,"16.054400,108.202150",android 14,1
60,ND006,113.160.12.34,2026-05-05 19:12:40,"16.054480,108.202310",android 14,1
61,ND006,113.160.12.34,2026-05-06 08:10:29,"16.054410,108.202180",ios 17.5,1
62,ND006,113.160.12.34,2026-05-06 19:18:53,"16.054470,108.202290",ios 17.5,1
63,ND006,113.160.12.34,2026-05-07 08:06:11,"16.054390,108.202120",android 14,1
64,ND006,113.160.12.34,2026-05-07 19:21:25,"16.054450,108.202260",android 14,1
65,ND006,113.160.12.34,2026-05-08 08:08:47,"16.054420,108.202190",ios 17.5,1
66,ND006,113.160.12.34,2026-05-08 19:15:32,"16.054460,108.202270",ios 17.5,1
67,ND006,113.160.12.34,2026-05-09 08:13:06,"16.054400,108.202150",android 14,1
68,ND006,113.160.12.34,2026-05-09 19:09:54,"16.054480,108.202310",android 14,1
69,ND006,113.160.12.34,2026-05-10 08:04:38,"16.054410,108.202180",ios 17.5,1
70,ND006,113.160.12.34,2026-05-10 19:22:11,"16.054470,108.202290",ios 17.5,1
71,ND006,113.160.12.34,2026-05-11 08:11:08,"16.054390,108.202120",android 14,1
72,ND006,113.160.12.34,2026-05-11 19:08:26,"16.054450,108.202260",android 14,1
73,ND006,113.160.12.34,2026-05-12 08:05:42,"16.054420,108.202190",ios 17.5,1
74,ND006,113.160.12.34,2026-05-12 19:20:19,"16.054460,108.202270",ios 17.5,1
75,ND006,113.160.12.34,2026-05-13 08:02:57,"16.054400,108.202150",android 14,1
76,ND006,113.160.12.34,2026-05-13 19:22:40,"16.054480,108.202310",android 14,1
77,ND006,113.160.12.34,2026-05-14 08:10:14,"16.054410,108.202180",ios 17.5,1
78,ND006,113.160.12.34,2026-05-14 19:18:07,"16.054470,108.202290",ios 17.5,1
